[Wed Jun 12 13:28:20.963779 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  26. Illuminate\\Routing\\Pipeline->then() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Router.php:682, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963785 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  27. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963792 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  28. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963798 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  29. LaraManager\\Http\\Middleware\\EncryptCookies->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963805 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  30. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:66, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963811 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  31. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963817 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  32. Illuminate\\Cookie\\Middleware\\AddQueuedCookiesToResponse->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963824 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  33. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963840 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  34. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963846 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  35. Illuminate\\Session\\Middleware\\StartSession->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963853 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  36. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:56, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963860 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  37. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963866 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  38. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963873 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  39. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963879 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  40. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963886 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  41. LaraManager\\Http\\Middleware\\VerifyCsrfToken->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963892 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  42. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:75, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963899 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  43. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963905 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  44. Illuminate\\Routing\\Middleware\\SubstituteBindings->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
